,date,lat,long,daysSince1985,economic_loss,total_affected,duration,event_type,CAMEOCode,Index,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
3530,"Thursday, April 13, 2006",11.1633749,79.68405151,7772,20305.18352,,1,-1,,4332,,,1,20305.18352,,,,26,8,0.0,0.0,,28.0
3531,"Monday, April 17, 2006",11.1633749,79.68405151,7776,20305.18352,,1,-1,,4362,,,1,20305.18352,,,,26,8,0.0,0.0,,25.0
3532,"Tuesday, April 18, 2006",9.539704323,78.59148407,7777,20305.18352,,1,-1,,4371,,,1,20305.18352,,,,1,0,,,,
3533,"Tuesday, April 25, 2006",12.61498547,79.75827789,7784,20305.18352,,1,-1,,4395,,,1,20305.18352,,,,27,10,0.0,0.0,,17.0
3534,"Tuesday, April 25, 2006",12.41011,79.89029,7784,20305.18352,,1,-1,,4397,,,1,20305.18352,,,,27,10,0.0,0.0,,17.0
3535,"Thursday, April 27, 2006",11.2341,78.8805,7786,20305.18352,,1,-1,,4399,,,1,20305.18352,,,,28,10,0.0,0.0,,14.0
3536,"Saturday, April 29, 2006",13.08019447,80.05047607,7788,20305.18352,,1,-1,,4410,,,1,20305.18352,,,,27,10,0.0,0.0,,13.0
3537,"Saturday, April 29, 2006",11.3379488,78.82061005,7788,20305.18352,,1,-1,,4411,,,1,20305.18352,,,,1,0,,,,
3538,"Tuesday, May 02, 2006",9.767000198,78.73300171,7791,20305.18352,,1,-1,,4453,,,1,20305.18352,,,,1,0,,,,
3539,"Friday, May 05, 2006",11.3379488,78.82061005,7794,20305.18352,,1,-1,,4468,,,1,20305.18352,,,,1,0,,,,
3540,"Tuesday, May 09, 2006",13.33226776,80.19892883,7798,20305.18352,,1,-1,,4481,,,1,20305.18352,,,,28,10,0.0,0.0,,3.0
3541,"Thursday, May 11, 2006",11.23668,78.87092,7800,20305.18352,,1,-1,,4492,,,1,20305.18352,,,,1,0,,,,
